============================================================
SUMMARY STATISTICS
============================================================
Total successful tests: 100
Total images processed: 1

Detected Elements Statistics:
  Min: 71
  Max: 113
  Average: 78.48
  Total across all tests: 7848

OCR Text Statistics:
  Min: 52
  Max: 52
  Average: 52.00
  Total across all tests: 5200

Top 5 combinations by detected elements:
  1. Box=0.01, IoU=0.46, Elements=113, OCR=52
  2. Box=0.01, IoU=0.21, Elements=112, OCR=52
  3. Box=0.01, IoU=0.26, Elements=112, OCR=52
  4. Box=0.01, IoU=0.31, Elements=112, OCR=52
  5. Box=0.01, IoU=0.36, Elements=112, OCR=52

Top 5 combinations by OCR text:
  1. Box=0.01, IoU=0.01, Elements=105, OCR=52
  2. Box=0.01, IoU=0.06, Elements=108, OCR=52
  3. Box=0.01, IoU=0.11, Elements=111, OCR=52
  4. Box=0.01, IoU=0.16, Elements=111, OCR=52
  5. Box=0.01, IoU=0.21, Elements=112, OCR=52

================================================================================
DETAILED RESULTS TABLE
================================================================================
| Box  | IoU  | Detected Elements | OCR Text | Image Name        |
| 0.60 | 0.65 | 70                | 52       | TSS-TC-16-screen8 |
| 0.60 | 0.70 | 70                | 52       | TSS-TC-16-screen8 |
| 0.60 | 0.75 | 70                | 52       | TSS-TC-16-screen8 |
| 0.60 | 0.80 | 70                | 52       | TSS-TC-16-screen8 |
| 0.60 | 0.85 | 70                | 52       | TSS-TC-16-screen8 |
| 0.60 | 0.90 | 70                | 52       | TSS-TC-16-screen8 |
| 0.60 | 0.95 | 70                | 52       | TSS-TC-16-screen8 |
| 0.60 | 1.00 | 70                | 52       | TSS-TC-16-screen8 |
| 0.65 | 0.50 | 70                | 52       | TSS-TC-16-screen8 |
| 0.65 | 0.55 | 70                | 52       | TSS-TC-16-screen8 |
| 0.65 | 0.60 | 70                | 52       | TSS-TC-16-screen8 |
| 0.65 | 0.65 | 70                | 52       | TSS-TC-16-screen8 |
| 0.65 | 0.70 | 70                | 52       | TSS-TC-16-screen8 |
| 0.65 | 0.75 | 70                | 52       | TSS-TC-16-screen8 |
| 0.65 | 0.80 | 70                | 52       | TSS-TC-16-screen8 |
| 0.65 | 0.85 | 70                | 52       | TSS-TC-16-screen8 |
| 0.65 | 0.90 | 70                | 52       | TSS-TC-16-screen8 |
| 0.65 | 0.95 | 70                | 52       | TSS-TC-16-screen8 |
| 0.65 | 1.00 | 70                | 52       | TSS-TC-16-screen8 |
| 0.70 | 0.50 | 69                | 52       | TSS-TC-16-screen8 |
| 0.70 | 0.55 | 69                | 52       | TSS-TC-16-screen8 |
| 0.70 | 0.60 | 69                | 52       | TSS-TC-16-screen8 |
| 0.70 | 0.65 | 69                | 52       | TSS-TC-16-screen8 |
| 0.70 | 0.70 | 69                | 52       | TSS-TC-16-screen8 |
| 0.70 | 0.75 | 69                | 52       | TSS-TC-16-screen8 |
| 0.70 | 0.80 | 69                | 52       | TSS-TC-16-screen8 |
| 0.70 | 0.85 | 69                | 52       | TSS-TC-16-screen8 |
| 0.70 | 0.90 | 69                | 52       | TSS-TC-16-screen8 |
| 0.70 | 0.95 | 69                | 52       | TSS-TC-16-screen8 |
| 0.70 | 1.00 | 69                | 52       | TSS-TC-16-screen8 |
| 0.75 | 0.50 | 63                | 52       | TSS-TC-16-screen8 |
| 0.75 | 0.55 | 63                | 52       | TSS-TC-16-screen8 |
| 0.75 | 0.60 | 63                | 52       | TSS-TC-16-screen8 |
| 0.75 | 0.65 | 63                | 52       | TSS-TC-16-screen8 |
| 0.75 | 0.70 | 63                | 52       | TSS-TC-16-screen8 |
| 0.75 | 0.75 | 63                | 52       | TSS-TC-16-screen8 |
| 0.75 | 0.80 | 63                | 52       | TSS-TC-16-screen8 |
| 0.75 | 0.85 | 63                | 52       | TSS-TC-16-screen8 |
| 0.75 | 0.90 | 63                | 52       | TSS-TC-16-screen8 |
| 0.75 | 0.95 | 63                | 52       | TSS-TC-16-screen8 |
| 0.75 | 1.00 | 63                | 52       | TSS-TC-16-screen8 |
| 0.80 | 0.50 | 61                | 52       | TSS-TC-16-screen8 |
| 0.80 | 0.55 | 61                | 52       | TSS-TC-16-screen8 |
| 0.80 | 0.60 | 61                | 52       | TSS-TC-16-screen8 |
| 0.80 | 0.65 | 61                | 52       | TSS-TC-16-screen8 |
| 0.80 | 0.70 | 61                | 52       | TSS-TC-16-screen8 |
| 0.80 | 0.75 | 61                | 52       | TSS-TC-16-screen8 |
| 0.80 | 0.80 | 61                | 52       | TSS-TC-16-screen8 |
| 0.80 | 0.85 | 61                | 52       | TSS-TC-16-screen8 |
| 0.80 | 0.90 | 61                | 52       | TSS-TC-16-screen8 |
| 0.80 | 0.95 | 61                | 52       | TSS-TC-16-screen8 |
| 0.80 | 1.00 | 61                | 52       | TSS-TC-16-screen8 |
| 0.85 | 0.50 | 55                | 52       | TSS-TC-16-screen8 |
| 0.85 | 0.55 | 55                | 52       | TSS-TC-16-screen8 |
| 0.85 | 0.60 | 55                | 52       | TSS-TC-16-screen8 |
| 0.85 | 0.65 | 55                | 52       | TSS-TC-16-screen8 |
| 0.85 | 0.70 | 55                | 52       | TSS-TC-16-screen8 |
| 0.85 | 0.75 | 55                | 52       | TSS-TC-16-screen8 |
| 0.85 | 0.80 | 55                | 52       | TSS-TC-16-screen8 |
| 0.85 | 0.85 | 55                | 52       | TSS-TC-16-screen8 |
| 0.85 | 0.90 | 55                | 52       | TSS-TC-16-screen8 |
| 0.85 | 0.95 | 55                | 52       | TSS-TC-16-screen8 |
| 0.85 | 1.00 | 55                | 52       | TSS-TC-16-screen8 |
| 0.90 | 0.50 | 53                | 52       | TSS-TC-16-screen8 |
| 0.90 | 0.55 | 53                | 52       | TSS-TC-16-screen8 |
| 0.90 | 0.60 | 53                | 52       | TSS-TC-16-screen8 |
| 0.90 | 0.65 | 53                | 52       | TSS-TC-16-screen8 |
| 0.90 | 0.70 | 53                | 52       | TSS-TC-16-screen8 |
| 0.90 | 0.75 | 53                | 52       | TSS-TC-16-screen8 |
| 0.90 | 0.80 | 53                | 52       | TSS-TC-16-screen8 |
| 0.90 | 0.85 | 53                | 52       | TSS-TC-16-screen8 |
| 0.90 | 0.90 | 53                | 52       | TSS-TC-16-screen8 |
| 0.90 | 0.95 | 53                | 52       | TSS-TC-16-screen8 |
| 0.90 | 1.00 | 53                | 52       | TSS-TC-16-screen8 |
| 0.95 | 0.50 | 52                | 52       | TSS-TC-16-screen8 |
| 0.95 | 0.55 | 52                | 52       | TSS-TC-16-screen8 |
| 0.95 | 0.60 | 52                | 52       | TSS-TC-16-screen8 |
| 0.95 | 0.65 | 52                | 52       | TSS-TC-16-screen8 |
| 0.95 | 0.70 | 52                | 52       | TSS-TC-16-screen8 |
| 0.95 | 0.75 | 52                | 52       | TSS-TC-16-screen8 |
| 0.95 | 0.80 | 52                | 52       | TSS-TC-16-screen8 |
| 0.95 | 0.85 | 52                | 52       | TSS-TC-16-screen8 |
| 0.95 | 0.90 | 52                | 52       | TSS-TC-16-screen8 |
